YYYYMMDD	UTC	Lat	Lon	Mag	numsta	kms2WIPP	azi (deg)
20200901	01:32:13.4	31.702	-103.993	1.85	4	76.6	194.3
20200901	01:35:50.0	31.654	-104.058	1.64	3	83.4	197.4
20200901	02:38:24.0	31.573	-104.22	2.03	6	97.3	204.6
20200901	03:26:29.2	31.596	-104.125	2.21	5	91.5	200.1
20200901	04:05:41.3	31.749	-104.298	1.85	5	83.8	214.7
20200901	06:06:03.1	31.749	-104.085	2.17	12	74.3	201.8
20200901	06:50:14.9	31.216	-103.338	1.66	5	135.2	161.3
20200901	07:33:33.3	31.599	-104.176	1.97	4	93	203
20200901	07:48:37.7	31.615	-104.294	2.36	12	96.3	209.5
20200901	07:54:05.2	31.622	-104.295	2.29	4	95.6	209.8
20200901	09:25:07.9	31.934	-103.922	1.68	3	50	194.1
20200901	09:59:20.3	31.755	-104.06	1.8	9	72.8	200.2
20200901	10:37:36.1	31.727	-104.118	2.2	10	77.7	203.3
20200901	11:58:36.3	31.68	-104.16	1.71	4	84.1	204.3
20200901	13:19:42.0	31.664	-104.187	2.13	9	86.8	205.4
20200901	13:58:54.8	31.729	-104.539	1.99	5	100.1	224.8
20200901	15:13:20.7	31.738	-104.276	1.81	4	83.7	213.1
20200901	15:15:48.3	32.004	-103.719	1.67	3	41.4	169.9
20200901	15:45:29.6	31.691	-104.223	1.76	5	85.6	208.4
20200901	18:51:49.8	31.642	-104.481	2.01	12	103.7	218.9
20200901	19:51:46.0	31.666	-104.452	2.07	5	100	218.6
20200901	20:09:23.0	32.061	-103.687	2.16	4	35.9	163.3
20200901	22:55:17.0	31.962	-103.886	1.77	5	46.3	191.3
20200901	22:59:12.2	31.743	-104.517	1.94	5	97.5	224.6
20200901	23:05:22.7	31.701	-104.318	2.19	6	89.3	213.8
20200901	23:19:58.1	31.753	-104.067	1.71	5	73.3	200.6
20200901	23:44:12.4	31.729	-104.388	2.13	11	90.6	218.4
20200902	00:59:36.7	31.721	-104.405	2.2	6	92.4	218.8
20200902	01:36:11.3	31.741	-104.09	2.27	17	75.3	201.9
20200902	01:49:36.0	31.782	-104.031	2.19	5	69	199
20200902	02:37:13.6	31.621	-104.15	1.9	5	89.7	202.1
20200902	02:46:42.9	31.652	-104.244	1.97	5	90.4	208.2
20200902	02:54:19.4	31.741	-104.364	2.24	5	88.3	217.7
20200902	03:10:21.7	31.702	-104.302	2.23	4	88.4	213
20200902	03:21:42.5	31.704	-104.325	2.27	5	89.4	214.3
20200902	03:54:51.3	31.994	-103.73	1.75	5	42.4	171.6
20200902	04:18:30.5	31.678	-104.175	1.92	3	84.8	205.2
20200902	04:20:22.4	31.676	-104.524	1.67	5	103.4	222
20200902	04:21:53.8	31.655	-104.501	1.89	5	103.7	220.2
20200902*	04:51:47.5	31.754	-104.082	1.44	18	73.6	201.7
20200902*	04:52:51.3	31.777	-104.106	2.57	15	72.2	204.1
20200902	05:08:59.7	31.754	-104.097	2.56	17	74.2	202.8
20200902*	05:18:36.2	31.751	-104.086	2.65	18	74.2	202
20200902	05:39:10.2	31.671	-104.214	1.02	8	87.2	207.2
20200902	06:56:51.9	31.744	-104.055	1.95	7	73.8	199.5
20200902	07:03:21.1	31.761	-104.081	2.46	16	72.9	201.9
20200902	07:19:40.1	31.697	-104.151	1.7	5	82.1	204.4
20200902	07:36:19.8	31.623	-103.952	1.41	8	84.3	190.3
20200902	07:43:38.9	31.055	-103.171	2.25	4	157.4	157.8
20200902	08:12:45.5	31.439	-103.392	2.31	8	110.2	159.7
20200902	08:30:44.3	31.671	-104.467	1.96	5	100.3	219.5
20200902	08:36:26.0	31.704	-104.525	1.83	5	101.2	223.2
20200902	08:50:43.9	31.758	-104.086	1.97	9	73.4	202.1
20200902	08:58:19.5	31.715	-104.084	1.11	3	77.8	200.7
20200902	09:55:11.5	31.758	-104.059	2.09	6	72.5	200.3
20200902	10:14:10.3	31.689	-104.398	2.05	8	94.7	217.2
20200902	10:34:14.9	31.676	-104.269	1.96	5	89.2	210.3
20200902	11:45:29.4	31.719	-104.081	2.05	10	77.3	200.6
20200902	11:51:47.9	31.697	-104.514	2.29	10	101.1	222.5
20200902	12:16:17.6	31.645	-104.274	2.18	7	92.4	209.5
20200902	13:10:58.7	31.752	-104.081	2.2	9	73.8	201.6
20200902	13:26:13.0	31.765	-104.044	2.29	6	71.3	199.5
20200902	13:49:57.1	31.755	-104.052	1.95	7	72.6	199.7
20200902	14:04:33.9	31.75	-104.083	2.19	15	74.1	201.7
20200902*	14:13:19.8	31.768	-104.105	2.61	18	73.1	203.8
20200902	16:01:08.8	31.739	-104.074	2.08	10	74.9	200.7
20200902	16:32:08.3	31.984	-103.788	2.11	7	43	176.6
20200902	16:53:37.6	31.71	-104.361	2.13	10	90.8	216.3
20200902	17:49:48.8	31.707	-104.354	2.04	6	90.7	215.8
20200902	18:03:31.0	31.618	-104.204	2.06	5	92.1	205
20200902	19:40:20.2	31.614	-104.153	1.97	4	90.6	202.1
20200902	19:42:43.5	31.626	-104.177	2.03	5	90.2	203.7
20200902	20:45:52.4	31.745	-104.084	2.1	9	74.6	201.6
